scenario,cpu_speed,cpu_cores,cpu_threads,gpu_vram,ram_size,storage_space,psu_power,total_price,performance_score
Gaming,3.6,4,8,8,16,500,800,1202,1334.0
Gaming,3.6,4,8,4,16,1000,1200,2951,2254.0
Gaming,3.1,4,4,6,64,1000,850,1930,2526.5
General Use,3.9,6,12,24,64,250,650,1659,1793.2
General Use,3.6,4,8,6,32,1000,550,2034,5284.8
General Use,3.4,8,16,8,48,2000,750,2043,10411.2
Gaming,3.5,4,4,8,32,1000,750,2160,2412.5
Workstation,3.8,8,16,16,32,500,700,1943,9260.0
Home Office,3.6,6,12,12,32,1000,1200,2809,5356.0
Home Office,3.6,6,12,16,32,1000,750,2840,5356.0
General Use,3.7,6,12,8,16,1000,1300,2955,5157.6
Workstation,3.6,8,16,8,64,2000,750,1944,25150.0
Content Creation,3.7,6,12,8,32,1000,750,2379,10776.0
Workstation,3.6,6,12,8,64,2000,650,1398,24620.0
Gaming,3.6,6,12,4,64,2000,700,2330,4514.0
General Use,3.6,8,16,12,32,500,550,2141,2784.8
Home Office,3.6,4,8,3,8,1000,650,1899,5116.0
Gaming,3.1,4,4,8,16,1000,1000,2027,2326.5
Content Creation,3.4,8,16,8,32,2000,700,1646,20800.0
Workstation,3.7,4,8,8,64,2000,1500,1888,28840.0
Workstation,3.8,8,16,8,64,1000,1250,1677,17650.0
Home Office,3.6,8,16,8,32,2000,550,1713,10356.0
General Use,3.6,4,8,6,32,1000,850,2311,5284.8
Home Office,3.3,6,12,8,16,1000,650,1916,5193.0
Content Creation,3.9,6,12,6,32,1000,450,1737,10760.0
Gaming,3.7,4,8,4,32,1000,650,2271,2335.5
Content Creation,3.6,12,24,8,256,2000,600,1824,25328.0
General Use,3.1,4,4,8,32,1000,1200,1018,5280.8
Content Creation,3.9,6,12,4,32,1000,850,2318,10744.0
General Use,3.8,8,16,24,32,2000,1200,2517,10286.4
Workstation,3.6,4,8,16,64,1000,650,2255,14590.0
Gaming,3.7,4,8,12,32,2000,650,1685,4495.5
Workstation,4.4,12,24,6,32,2000,550,2501,23570.0
Home Office,3.2,8,16,8,8,1000,850,3053,5112.0
Home Office,3.2,4,8,24,64,2000,750,1871,10672.0
Workstation,3.3,6,12,8,32,250,1000,2393,8230.0
Workstation,3.6,4,8,8,32,1000,750,2029,14450.0
Content Creation,3.2,8,16,24,48,500,750,1850,6248.0
Home Office,3.8,4,4,12,16,1000,650,2086,5198.0
Workstation,3.2,8,16,8,16,2000,750,2056,24190.0
Home Office,3.8,8,16,16,32,2000,500,1527,10358.0
Gaming,3.2,4,8,8,64,500,750,2485,1568.0
Content Creation,3.1,4,4,12,16,1000,750,2482,10464.0
General Use,3.6,8,16,8,32,1000,400,2146,5284.8
Home Office,3.8,8,16,8,16,1000,750,2303,5198.0
Content Creation,3.8,6,12,8,32,1000,800,1928,10776.0
Gaming,3.4,8,16,12,32,500,1600,2177,1531.0
Content Creation,3.8,6,12,2,32,2000,850,1621,20728.0
Content Creation,3.6,4,8,8,16,1000,650,1714,10432.0
General Use,3.6,8,16,16,16,1000,750,2404,5156.8
Home Office,3.5,4,8,12,16,2000,1050,1907,10195.0
Workstation,3.2,4,8,12,32,2000,650,1668,23950.0
Gaming,3.6,4,8,16,32,2000,1500,1562,4574.0
General Use,3.6,8,16,12,32,500,850,2041,2784.8
Workstation,3.6,4,8,8,32,1000,1200,1971,16700.0
Content Creation,3.4,8,16,6,64,1000,1000,2786,11424.0
General Use,3.7,6,12,11,16,500,650,2663,2657.6
Workstation,3.8,8,16,6,32,500,850,2763,10010.0
Content Creation,3.8,6,12,11,32,500,1200,2725,5800.0
Workstation,3.6,2,4,8,16,2000,1200,2845,26350.0
General Use,3.5,4,4,16,16,1000,1600,2212,5156.0
Workstation,3.6,4,8,8,64,500,750,2182,10090.0
General Use,3.6,4,8,12,32,2000,650,2939,10284.8
Content Creation,3.6,4,8,8,16,1000,750,2256,10432.0
General Use,3.7,8,16,4,32,500,700,2183,2785.6
General Use,3.7,8,16,6,64,1000,750,2512,5541.6
Home Office,3.7,6,12,12,16,2000,650,2623,10197.0
General Use,3.6,4,8,8,32,1000,750,1508,5284.8
Home Office,3.4,6,12,16,16,1000,850,2167,5194.0
General Use,3.2,4,8,4,32,1000,650,2168,5281.6
Gaming,3.5,6,12,6,8,2000,1200,2494,4272.5
Home Office,3.5,4,8,8,16,2000,600,1697,10195.0
Content Creation,3.4,6,12,8,16,2000,850,1972,20456.0
Gaming,3.7,6,12,8,32,1000,700,2114,2435.5
General Use,3.6,4,8,8,32,500,1200,2714,2784.8
Gaming,3.6,8,16,24,32,250,1000,2273,1274.0
Gaming,3.6,6,12,6,32,1000,750,1950,2394.0
Home Office,3.6,2,4,8,8,1000,750,1914,5116.0
Home Office,3.6,2,4,8,32,2000,650,2556,10356.0
Content Creation,3.5,4,8,8,32,1000,650,2309,10752.0
Home Office,3.8,8,16,16,16,1000,650,1590,5198.0
Workstation,3.5,6,12,8,32,250,750,1872,6980.0
Content Creation,3.2,4,8,24,32,1000,600,1468,10880.0
Home Office,3.6,6,12,24,32,1000,550,1660,5356.0
Gaming,3.6,4,8,8,16,500,750,2030,1334.0
Content Creation,3.7,6,12,8,16,1000,1050,2126,10456.0
General Use,3.5,4,4,8,16,500,850,2165,2656.0
General Use,3.8,8,16,8,32,2000,650,1206,10286.4
General Use,3.5,4,4,8,32,1000,750,2480,5284.0
Gaming,3.4,8,16,8,16,2000,750,2473,4371.0
Gaming,3.2,4,8,20,32,250,650,2519,1148.0
Workstation,3.6,6,12,8,32,2000,850,1203,24980.0
Gaming,3.7,6,12,12,32,1000,650,1600,2515.5
Content Creation,3.4,8,16,12,8,1000,800,1840,10352.0
Workstation,3.7,6,12,8,16,1000,1000,1677,15410.0
General Use,3.6,4,8,8,16,1000,1000,3050,5156.8
General Use,3.1,4,4,4,16,1000,550,1350,5152.8
General Use,3.9,6,12,8,32,1000,400,1872,5287.2
Workstation,3.6,4,8,4,16,500,650,1918,8630.0
Home Office,3.2,8,16,6,64,1000,600,2193,5672.0
Workstation,3.6,12,24,8,32,1000,850,2306,15070.0
Workstation,3.4,8,16,4,32,2000,850,2349,25010.0
Content Creation,3.4,8,16,8,16,500,700,2658,5480.0
Content Creation,3.1,4,4,24,32,2000,750,2454,20880.0
Home Office,3.7,8,16,8,16,500,550,2096,2697.0
Gaming,3.6,8,16,6,32,1000,1050,1830,2414.0
Workstation,3.5,4,8,12,16,250,750,1930,6630.0
Workstation,3.2,4,8,8,48,1000,600,1888,14020.0
Workstation,3.6,6,12,16,16,1000,500,2041,12910.0
Content Creation,3.7,8,16,11,32,1000,850,2558,10824.0
Home Office,4.5,8,16,8,32,2000,700,2283,10365.0
Gaming,3.2,4,8,2,64,2000,550,1423,4448.0
General Use,3.7,6,12,8,16,1000,750,1535,5157.6
Home Office,3.6,8,16,8,64,500,1000,2574,3176.0
General Use,3.0,8,16,8,16,2000,1000,1639,10152.0
Workstation,3.9,6,12,8,16,500,750,1696,9160.0
General Use,3.6,2,4,8,32,1000,700,1168,5284.8
General Use,3.6,6,12,8,32,2000,850,2334,10284.8
Workstation,3.5,6,12,4,64,250,1000,2157,8870.0
Gaming,3.6,4,8,12,32,1000,900,2268,2494.0
Home Office,3.6,2,4,24,256,1000,750,1896,7596.0
Content Creation,3.0,8,16,8,16,1000,700,2105,10480.0
Content Creation,3.5,4,4,8,64,500,1000,1564,6392.0
Gaming,3.6,2,4,8,32,1000,600,2485,2394.0
Gaming,3.1,4,4,8,8,2000,750,2907,4286.5
Home Office,3.4,6,12,8,32,1000,650,2506,5354.0
Workstation,3.2,4,8,8,32,1000,750,2684,14450.0
Home Office,3.4,8,16,8,16,250,700,1442,1444.0
General Use,3.3,6,12,8,32,2000,850,2084,10282.4
Workstation,3.1,4,4,8,64,1000,750,2607,15090.0
Gaming,3.6,4,8,8,128,2000,1000,2567,4894.0
Content Creation,3.2,8,16,8,64,500,650,1814,6440.0
Gaming,3.7,4,8,12,32,1000,650,2418,2495.5
Content Creation,3.4,6,12,8,32,1000,850,2556,10776.0
Content Creation,3.7,6,12,8,32,1000,1000,2472,10776.0
Content Creation,3.7,4,8,8,32,250,850,2005,3252.0
Content Creation,3.4,6,12,16,16,2000,850,2720,20520.0
General Use,3.6,2,4,4,16,1000,850,2018,5156.8
Gaming,3.6,4,8,4,32,250,1000,1929,834.0
Gaming,3.5,4,8,8,16,1000,750,2275,2332.5
Home Office,3.2,4,8,8,64,500,650,1891,3172.0
Home Office,3.6,2,4,6,128,250,650,2004,2566.0
Home Office,3.6,4,8,8,8,500,850,2286,2616.0
Content Creation,3.6,2,4,16,48,1000,500,1468,11112.0
General Use,3.4,8,16,8,32,2000,550,2083,10283.2
Gaming,3.1,4,4,2,32,2000,650,1583,4286.5
Content Creation,3.6,4,8,8,16,1000,700,2773,10432.0
Workstation,3.1,4,4,16,32,2000,1050,2503,25950.0
Home Office,3.7,6,12,8,64,1000,650,2072,5677.0
Home Office,4.7,12,24,8,16,250,600,2725,1457.0
Content Creation,3.5,4,4,4,8,1000,1200,2878,10240.0
General Use,3.4,6,12,8,16,1000,650,2279,5155.2
Home Office,3.7,8,16,8,32,1000,650,1612,5357.0
General Use,3.5,4,4,6,64,500,450,1491,3040.0
Gaming,3.5,4,4,16,32,2000,1000,2685,4572.5
Workstation,3.6,4,8,6,32,1000,650,2025,13950.0
Gaming,3.9,6,12,12,16,1000,550,1618,2438.5
Workstation,3.8,8,16,11,16,2000,900,1605,24940.0
General Use,3.6,8,16,24,64,500,650,2234,3040.8
Home Office,3.7,8,16,10,32,1000,1000,1590,5357.0
Gaming,3.6,8,16,8,32,2000,1000,2081,4454.0
General Use,4.2,16,32,6,32,2000,2000,1820,10289.6
Content Creation,3.6,4,8,24,64,1000,850,2625,11520.0
Gaming,3.5,6,12,12,32,250,550,2210,1012.5
General Use,3.8,6,12,12,32,2000,400,1439,10286.4
Gaming,3.4,8,16,8,64,1000,1350,2633,2611.0
Content Creation,3.6,6,12,10,32,2000,1200,2296,20792.0
Gaming,3.1,4,4,16,8,500,550,1449,1446.5
Home Office,3.6,8,16,12,64,1000,1200,2145,5676.0
General Use,3.6,6,12,11,16,2000,750,2534,10156.8
Gaming,3.6,4,8,12,16,2000,850,1990,4414.0
Content Creation,3.8,8,16,8,32,1000,550,1566,10800.0
General Use,3.6,6,12,16,4,1000,1000,2605,5060.8
General Use,3.0,8,16,24,16,500,650,2782,2652.0
Gaming,3.6,8,16,8,16,1000,650,2536,2374.0
Content Creation,3.7,4,8,6,32,1000,550,2861,10736.0
Content Creation,3.0,8,16,8,64,2000,1050,2731,21440.0
General Use,3.6,6,12,8,64,500,650,1809,3040.8
General Use,3.1,4,4,16,32,2000,450,2479,10280.8
Content Creation,3.6,2,4,8,8,250,850,2146,2748.0
Workstation,3.7,8,16,8,32,1000,1050,2652,16010.0
Gaming,3.4,8,16,8,32,2000,550,2277,4451.0
Home Office,3.3,6,12,8,64,1000,750,2172,5673.0
Gaming,3.7,4,8,24,32,2000,500,1715,4735.5
Content Creation,3.6,2,4,8,64,2000,700,2650,21368.0
Workstation,3.1,4,4,6,8,2000,750,2536,23970.0
Content Creation,3.4,8,16,24,32,2000,850,2701,20928.0
Workstation,3.6,6,12,6,32,250,550,2096,5980.0
General Use,3.1,4,4,4,64,1000,750,1913,5536.8
Content Creation,3.6,4,8,8,32,1000,600,2290,10752.0
General Use,3.7,6,12,12,16,2000,550,2002,10157.6
Gaming,3.1,4,4,11,32,1000,850,2083,2466.5
Home Office,3.5,4,4,11,16,250,850,2406,1445.0
Gaming,3.6,4,8,8,32,2000,650,2396,4414.0
Home Office,3.9,6,12,12,64,250,1100,2003,1929.0
Content Creation,3.7,6,12,12,64,1000,1000,2181,11448.0
Content Creation,3.0,8,16,8,32,1000,650,2083,10800.0
General Use,3.6,4,8,4,32,1000,750,2387,5284.8
Gaming,3.6,8,16,6,32,1000,750,2644,2414.0
General Use,3.6,8,16,8,32,250,450,2960,1534.8
Workstation,3.8,8,16,8,16,250,450,2575,5190.0
Gaming,3.6,2,4,8,32,500,650,2801,1394.0
Workstation,3.5,4,4,24,64,500,1000,1779,11340.0
General Use,3.3,6,12,8,16,1000,1000,1913,5154.4
Workstation,3.2,4,8,8,32,2000,550,2007,23450.0
Home Office,3.3,6,12,8,8,1000,750,2354,5113.0
Gaming,3.6,4,8,6,64,1000,550,2630,2534.0
Gaming,3.2,8,16,8,32,2000,650,2349,4448.0
General Use,3.6,6,12,16,32,1000,750,1860,5284.8
Content Creation,3.8,8,16,12,32,250,750,2446,3332.0
General Use,3.3,6,12,12,64,500,450,2870,3038.4
Home Office,3.4,6,12,16,64,1000,750,2474,5674.0
Content Creation,3.1,4,4,8,64,1000,650,2538,11392.0
Workstation,3.7,8,16,6,64,2000,700,2289,24900.0
Workstation,3.5,4,4,8,32,1000,500,2806,13200.0
Workstation,3.5,4,8,8,64,1000,1200,1619,17340.0
General Use,3.2,8,16,10,32,2000,1650,2400,10281.6
Content Creation,3.6,8,16,12,64,2000,750,2162,21472.0
Gaming,3.2,4,8,8,32,2000,650,1693,4408.0
Content Creation,3.7,8,16,6,32,2000,650,1119,20784.0
Content Creation,3.2,8,16,6,64,1000,650,1745,11424.0
Content Creation,3.7,6,12,8,32,2000,1000,2574,20776.0
Content Creation,3.7,4,8,6,16,500,750,2859,5416.0
General Use,3.6,4,8,8,16,2000,1000,2301,10156.8
Workstation,3.4,8,16,12,16,1000,850,2419,14690.0
Home Office,3.6,4,8,10,32,1000,1000,2754,5356.0
Home Office,3.4,8,16,8,32,1000,550,2008,5354.0
Workstation,3.6,4,8,8,4,1000,750,1784,13890.0
Workstation,3.7,6,12,16,16,1000,650,1955,13660.0
General Use,3.9,6,12,8,32,250,450,1255,1537.2
General Use,3.6,4,8,24,32,250,550,1704,1534.8
Gaming,3.6,2,4,8,32,1000,500,1758,2394.0
General Use,3.7,6,12,10,8,1000,600,2354,5093.6
Workstation,3.8,8,16,6,32,1000,550,2082,13510.0
Content Creation,3.8,8,16,8,16,500,850,2435,5480.0
Content Creation,3.6,8,16,8,32,1000,1000,2501,10800.0
Workstation,3.5,4,8,12,32,500,600,1332,8700.0
Workstation,3.6,6,12,12,32,1000,850,1766,14980.0
Gaming,3.6,6,12,6,16,1000,450,1947,2314.0
Home Office,3.5,6,12,3,16,500,850,2010,2695.0
General Use,3.2,4,8,8,32,1000,600,2422,5281.6
Workstation,3.4,6,12,12,16,1000,750,2960,14160.0
Gaming,3.6,2,4,4,32,1000,550,2196,2314.0
General Use,3.6,6,12,8,64,1000,550,1897,5540.8
Home Office,3.6,6,12,24,32,250,650,2548,1606.0
General Use,3.6,6,12,16,64,1000,750,1930,5540.8
Home Office,3.7,6,12,8,16,2000,600,2324,10197.0
Home Office,3.6,4,8,6,16,2000,600,1955,10196.0
Home Office,3.7,8,16,8,32,500,650,2259,2857.0
Gaming,4.2,16,32,8,64,250,800,1863,1203.0
Workstation,3.9,6,12,8,32,1000,850,1428,14980.0
Content Creation,3.5,4,8,8,16,1000,650,1899,10432.0
Workstation,3.6,4,8,4,16,2000,650,2469,23630.0
Gaming,3.2,4,8,6,64,1000,550,2537,2528.0
Content Creation,3.5,4,4,8,64,1000,450,2348,11392.0
Gaming,3.3,6,12,24,32,2000,700,2300,4749.5
Gaming,3.6,4,8,16,32,500,500,2490,1574.0
Content Creation,3.6,4,8,8,32,250,500,1607,3252.0
General Use,3.7,6,12,12,32,500,1000,2636,2785.6
Workstation,3.2,4,8,8,16,250,750,1234,6630.0
Home Office,3.6,6,12,8,32,2000,1000,2008,10356.0
Content Creation,3.8,8,16,12,32,2000,500,1785,20832.0
Workstation,3.8,8,16,6,32,500,550,1726,8510.0
Content Creation,3.7,8,16,6,32,2000,650,2402,20784.0
Gaming,3.7,4,8,24,8,1000,750,1094,2615.5
Content Creation,3.7,6,12,4,8,1000,1000,1675,10264.0
Home Office,3.8,4,4,12,16,1000,850,1644,5198.0
Workstation,3.7,4,8,6,32,500,850,2586,9950.0
Gaming,3.6,8,16,6,64,500,550,2003,1574.0
Workstation,3.8,8,16,6,32,1000,850,1501,15010.0
Workstation,3.2,8,16,10,64,250,800,2093,7900.0
Content Creation,3.7,8,16,8,32,250,700,2429,3300.0
General Use,3.6,6,12,12,32,2000,600,2493,10284.8
Gaming,3.6,6,12,12,32,500,650,2186,1514.0
Workstation,3.7,8,16,8,8,1000,650,1493,13530.0
Home Office,3.5,4,4,8,32,500,650,1913,2855.0
Home Office,3.5,4,8,24,32,1000,1200,1072,5355.0
Workstation,3.6,6,12,4,32,2000,750,1804,24480.0
Workstation,3.6,4,8,8,16,1000,1350,2288,17130.0
Home Office,3.4,8,16,12,64,500,600,1908,3174.0
General Use,3.7,6,12,8,16,2000,650,2108,10157.6
Content Creation,3.4,6,12,11,32,1000,650,2629,10800.0
Content Creation,3.7,8,16,8,32,1000,600,2284,10800.0
Home Office,3.1,4,4,8,64,1000,1050,1439,5671.0
Workstation,3.8,8,16,2,8,1000,500,1731,12780.0
Workstation,3.8,8,16,8,32,1000,1200,1670,16760.0
General Use,3.5,6,12,8,64,1000,650,2243,5540.0
Gaming,3.6,4,8,8,64,1000,550,1621,2574.0
Home Office,3.6,4,8,16,32,1000,700,1802,5356.0
Home Office,3.4,6,12,8,32,2000,600,2309,10354.0
Content Creation,3.7,4,8,8,32,500,1200,2656,5752.0
Content Creation,3.4,6,12,8,16,2000,900,2279,20456.0
Workstation,3.5,4,8,10,16,500,550,1692,8130.0
Content Creation,3.2,4,8,10,32,2000,700,1484,20768.0
General Use,3.6,4,8,24,32,1000,850,2645,5284.8
Home Office,3.6,2,4,4,32,1000,1000,2417,5356.0
Home Office,3.6,6,12,8,32,1000,850,2232,5356.0
Workstation,3.2,8,16,8,32,500,650,1436,9010.0
Workstation,3.2,8,16,10,32,250,750,2231,7010.0
Home Office,3.2,8,16,8,8,1000,650,1733,5112.0
Gaming,3.4,6,12,8,16,1000,750,1810,2351.0
Gaming,3.9,6,12,2,16,500,750,2248,1238.5
Content Creation,3.7,8,16,8,16,1000,600,2560,10480.0
Workstation,4.5,16,32,3,64,1000,650,2141,14770.0
Gaming,3.6,4,8,2,64,2000,750,1855,4454.0
Gaming,3.6,6,12,6,32,1000,650,1839,2394.0
Gaming,3.0,8,16,12,16,1000,1200,1938,2445.0
Gaming,3.4,6,12,12,16,1000,850,2381,2431.0
Home Office,3.6,6,12,8,64,1000,850,1962,5676.0
Gaming,3.2,8,16,8,32,1000,500,2680,2448.0
General Use,3.6,2,4,8,16,2000,850,2316,10156.8
Home Office,3.6,8,16,6,16,1000,1000,1550,5196.0
Workstation,3.1,4,4,12,16,500,850,2293,9630.0
Gaming,3.6,4,8,6,32,1000,600,2670,2374.0
Gaming,3.4,8,16,12,8,2000,800,2623,4411.0
Workstation,3.6,4,8,8,64,1000,550,2816,14090.0
Workstation,3.4,8,16,8,64,1000,450,1480,13650.0
Workstation,3.4,8,16,8,64,500,650,1697,9650.0
General Use,3.8,6,12,6,32,2000,700,1919,10286.4
Content Creation,3.5,4,4,8,16,1000,400,2947,10432.0
Workstation,3.6,8,16,8,16,500,750,2506,9190.0
Home Office,3.2,4,8,3,32,500,550,2132,2852.0
Content Creation,3.1,4,4,10,16,1000,700,1196,10448.0
Home Office,3.2,8,16,8,16,2000,750,2524,10192.0
Home Office,3.7,4,8,11,16,1000,1050,2384,5197.0
Workstation,3.6,12,24,10,32,1000,1000,1935,15820.0
Workstation,3.9,6,12,8,16,1000,1000,986,15410.0
Content Creation,3.5,4,4,8,32,250,550,1807,3252.0
Content Creation,3.7,8,16,8,32,2000,750,2298,20800.0
General Use,3.6,8,16,3,16,2000,800,1859,10156.8
Workstation,3.6,8,16,16,32,2000,1050,2444,26010.0
Workstation,3.8,4,4,8,32,2000,1000,2170,25700.0
Home Office,3.6,6,12,6,16,2000,750,1630,10196.0
Content Creation,3.4,8,16,8,16,1000,850,2542,10480.0
Content Creation,3.1,4,4,12,32,1000,850,1790,10784.0
General Use,3.2,4,8,12,16,500,1000,1376,2653.6
General Use,3.6,4,8,12,8,1000,1350,2038,5092.8
Workstation,3.6,6,12,6,64,250,750,1502,7620.0
Workstation,3.4,8,16,6,32,1000,900,2819,15260.0
Gaming,3.8,8,16,24,32,250,600,2111,1277.0
Home Office,3.1,4,4,16,64,2000,500,2730,10671.0
Gaming,3.4,6,12,6,64,2000,1250,1959,4551.0
Home Office,3.5,4,4,8,32,500,600,2278,2855.0
Workstation,3.6,4,8,6,16,1000,950,1881,15130.0
Content Creation,3.6,4,8,2,64,1000,450,2190,11344.0
Gaming,3.4,8,16,6,16,2000,450,2124,4331.0
Content Creation,3.2,4,8,12,48,500,650,2075,6104.0
Content Creation,3.9,6,12,20,32,1000,550,1722,10872.0
Content Creation,3.8,8,16,6,64,500,1000,2593,6424.0
Workstation,3.1,4,4,11,32,1000,800,2168,14700.0
General Use,3.2,4,8,8,8,2000,700,2292,10089.6
Content Creation,3.6,8,16,8,32,2000,600,2204,20800.0
Gaming,3.6,4,8,12,32,500,850,2024,1494.0
Home Office,3.7,6,12,8,32,1000,2000,2771,5357.0
General Use,3.4,8,16,8,32,2000,650,1724,10283.2
Content Creation,3.2,4,8,10,96,2000,650,1866,22048.0
Gaming,3.6,2,4,12,64,1000,850,1966,2634.0
Content Creation,3.7,4,8,16,32,1000,850,1427,10816.0
Content Creation,3.6,2,4,8,32,500,650,2759,5728.0
Content Creation,3.7,12,24,8,32,1000,650,1873,10848.0
Workstation,3.5,6,12,10,8,250,650,2239,6000.0
General Use,3.8,8,16,4,16,500,750,1900,2658.4
General Use,3.6,4,8,24,32,1000,550,1869,5284.8
Workstation,3.6,4,8,4,32,500,700,2551,9200.0
Content Creation,3.7,6,12,8,32,2000,750,2577,20776.0
Workstation,3.2,8,16,11,64,250,1000,1634,8900.0
Content Creation,3.9,6,12,8,32,2000,750,1331,20776.0
Gaming,3.1,4,4,8,64,2000,850,1308,4566.5
Content Creation,3.6,2,4,12,8,1000,650,2516,10280.0
Gaming,3.6,8,16,6,32,500,850,2726,1414.0
General Use,3.6,4,8,8,32,500,500,2863,2784.8
Gaming,3.4,6,12,8,64,2000,550,3132,4591.0
General Use,3.6,8,16,8,32,1000,750,1902,5284.8
General Use,3.2,4,8,8,16,2000,650,2040,10153.6
Workstation,3.6,6,12,8,32,250,1000,1577,8230.0
Gaming,3.6,6,12,8,32,500,550,2126,1434.0
Workstation,3.4,6,12,4,64,1000,900,1637,15870.0
General Use,3.6,2,4,24,16,500,750,1383,2656.8
Gaming,3.6,2,4,8,32,500,750,2522,1394.0
General Use,3.6,8,16,11,32,1000,550,1933,5284.8
General Use,3.5,4,8,12,32,1000,1200,1612,5284.0
General Use,4.2,16,32,2,32,1000,750,1786,5289.6
Content Creation,3.7,8,16,8,32,1000,500,1436,10800.0
General Use,3.6,4,8,6,16,500,650,2499,2656.8
Home Office,3.5,4,4,12,32,2000,750,2407,10355.0
Workstation,3.1,4,4,8,32,1000,650,2598,13950.0
Gaming,3.6,4,8,8,32,500,650,2552,1414.0
Gaming,3.1,4,4,8,16,2000,750,2712,4326.5
Content Creation,3.7,4,8,11,32,1000,750,1466,10776.0
Content Creation,3.2,4,8,8,8,1000,850,1939,10272.0
Gaming,4.2,8,16,4,128,1000,650,2047,2863.0
Gaming,3.6,2,4,8,32,2000,650,2531,4394.0
General Use,3.7,12,24,6,32,1000,750,1997,5285.6
Workstation,3.4,8,16,24,16,500,750,1784,9190.0
General Use,3.6,2,4,8,64,1000,750,2289,5540.8
Content Creation,3.0,8,16,8,32,1000,1000,1364,10800.0
Home Office,3.7,8,16,8,32,1000,650,2865,5357.0
Home Office,3.1,4,4,3,64,2000,750,1907,10671.0
Workstation,3.7,6,12,11,32,2000,1050,2547,25980.0
Content Creation,3.6,6,12,12,64,2000,600,2318,21448.0
Content Creation,3.6,6,12,8,16,2000,600,2391,20456.0
General Use,3.8,6,12,6,32,1000,750,3187,5286.4
Content Creation,3.5,6,12,24,64,1000,550,2675,11544.0
Workstation,3.6,6,12,8,32,500,650,2516,8980.0
Home Office,3.7,8,16,12,32,1000,1200,2428,5357.0
Content Creation,3.4,8,16,8,32,500,850,1971,5800.0
General Use,3.5,4,4,6,8,1000,750,2487,5092.0
General Use,4.5,8,16,12,32,250,850,1499,1542.0
Gaming,3.8,4,4,8,32,1000,850,1436,2417.0
Workstation,3.8,8,16,12,64,2000,550,2242,24150.0
Home Office,3.7,8,16,12,32,500,550,2632,2857.0
Workstation,3.6,4,8,8,16,1000,1000,2399,15380.0
General Use,3.6,8,16,4,64,2000,750,2782,10540.8
General Use,3.8,8,16,8,64,500,1000,1196,3042.4
Workstation,3.7,8,16,4,16,500,600,2561,8440.0
Gaming,3.4,8,16,4,32,1000,700,2702,2371.0
Workstation,3.6,8,16,8,32,500,650,2751,9010.0
Workstation,3.2,4,8,16,32,500,700,2494,9200.0
Gaming,3.2,8,16,8,32,2000,650,2132,4448.0
General Use,3.5,4,8,10,64,2000,700,1453,10540.0
General Use,3.8,4,4,11,64,1000,650,2249,5542.4
Workstation,3.2,8,16,6,16,1000,1000,1416,15440.0
Gaming,3.2,8,16,4,32,1000,550,2632,2368.0
Content Creation,3.4,8,16,8,64,2000,550,1330,21440.0
Home Office,3.7,8,16,8,64,500,650,1327,3177.0
General Use,3.7,6,12,4,32,1000,850,2510,5285.6
General Use,3.7,4,8,8,32,1000,750,2290,5285.6
Home Office,3.7,4,8,8,32,2000,700,2590,10357.0
Content Creation,3.6,6,12,8,32,1000,450,2172,10776.0
Home Office,3.7,6,12,12,32,500,550,2105,2857.0
Home Office,3.3,6,12,12,128,2000,850,2394,11313.0
General Use,3.5,6,12,8,8,500,650,2363,2592.0
Gaming,3.8,8,16,8,16,1000,950,2081,2377.0
Content Creation,3.5,4,4,6,32,1000,850,1391,10736.0
General Use,3.8,8,16,12,8,1000,850,2483,5094.4
Content Creation,3.6,8,16,8,48,1000,600,2584,11120.0
Home Office,3.6,2,4,24,64,2000,650,1831,10676.0
Content Creation,3.7,4,8,11,64,2000,1000,2863,21416.0
Home Office,3.1,4,4,4,32,500,850,1390,2851.0
Gaming,4.2,8,16,8,32,250,550,2288,963.0
Gaming,3.7,6,12,11,48,1000,650,2264,2575.5
General Use,3.7,8,16,16,64,1000,1000,1596,5541.6
General Use,3.6,4,8,12,64,2000,500,1836,10540.8
General Use,3.3,6,12,20,32,2000,650,2380,10282.4
Gaming,3.6,4,8,8,128,2000,650,2520,4894.0
General Use,3.8,4,4,8,8,500,1200,1160,2594.4
Gaming,3.9,6,12,8,64,1000,850,1979,2598.5
General Use,3.7,8,16,8,32,2000,750,1926,10285.6
Content Creation,3.7,8,16,12,16,2000,650,1443,20512.0
Workstation,3.7,8,16,6,32,2000,500,1790,23260.0
Content Creation,3.2,8,16,8,32,500,650,2093,5800.0
Workstation,3.4,6,12,12,8,1000,1600,2628,18250.0
Content Creation,3.5,4,4,8,16,2000,1000,2667,20432.0
General Use,3.6,4,8,8,16,2000,450,1993,10156.8
Home Office,3.2,4,8,8,32,500,1200,1236,2852.0
General Use,3.7,6,12,8,96,2000,600,2224,10797.6
Home Office,3.0,8,16,8,32,1000,650,2073,5350.0
General Use,3.7,6,12,8,32,2000,750,2036,10285.6
Gaming,3.4,8,16,8,8,250,850,2429,831.0
General Use,3.6,4,8,20,16,250,750,1760,1406.8
Workstation,3.7,6,12,12,64,2000,800,2760,25370.0
Home Office,3.6,8,16,16,32,2000,750,2437,10356.0
General Use,3.0,8,16,8,32,2000,650,2197,10280.0
Content Creation,3.6,6,12,8,64,1000,500,2344,11416.0
Content Creation,3.7,4,8,12,32,2000,750,1769,20784.0
Gaming,3.7,6,12,8,16,1000,1200,2404,2355.5
